FL_DATE,FL_YEAR,FL_MONTH,FL_DOM,FL_DOW,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2016-06-01,2016,6,1,4,EV,5602,1039705,1295104,ATL,LFT,1621,55,47,1803,1818,5,1705,78,0,,0,503
2016-06-01,2016,6,1,4,DL,2614,1039705,1295104,ATL,LFT,2010,-2,20,2028,2039,5,2056,-12,0,,0,503
2016-06-01,2016,6,1,4,EV,5071,1039705,1295104,ATL,LFT,1305,63,21,1429,1445,5,1344,66,0,,0,503
2016-06-01,2016,6,1,4,EV,5597,1039705,1295104,ATL,LFT,1006,-3,16,1019,1041,7,1051,-3,0,,0,503
2016-06-02,2016,6,2,5,EV,5071,1039705,1295104,ATL,LFT,1305,-6,23,1322,1338,25,1344,19,0,,0,503
2016-06-02,2016,6,2,5,EV,5597,1039705,1295104,ATL,LFT,1006,139,29,1254,1312,6,1051,147,0,,0,503
2016-06-02,2016,6,2,5,DL,2614,1039705,1295104,ATL,LFT,2010,-5,24,2029,2039,7,2056,-10,0,,0,503
2016-06-02,2016,6,2,5,EV,5602,1039705,1295104,ATL,LFT,1621,0,25,1646,1654,5,1705,-6,0,,0,503
2016-06-03,2016,6,3,6,EV,5071,1039705,1295104,ATL,LFT,1305,21,18,1344,1406,5,1344,27,0,,0,503
2016-06-03,2016,6,3,6,DL,2614,1039705,1295104,ATL,LFT,2010,-4,21,2027,2044,7,2056,-5,0,,0,503
